Number of Processes,Memory Used (MB),Time Elapsed (ms)
555,13386.3125,284855.9219837189
556,13394.53125,285364.66002464294
557,13423.66796875,285872.7457523346
558,13451.765625,286380.18918037415
559,13468.9296875,286888.90051841736
560,13500.125,287397.65095710754
561,13528.390625,287905.66778182983
562,13553.0234375,288416.0451889038
563,13620.62890625,288924.6315956116
564,13654.12109375,289431.7853450775
565,13677.33984375,289940.65284729004
566,13708.70703125,290448.60076904297
567,13741.69140625,290956.60400390625
568,13772.83203125,291465.5017852783
569,13795.71484375,291972.6538658142
570,13817.91796875,292479.66957092285
571,13849.9375,292986.64450645447
572,13863.43359375,293496.19483947754
573,13887.234375,294005.68652153015
574,13902.0625,294513.7870311737
575,13946.84375,295021.3875770569
576,14067.43359375,295543.6818599701
577,14174.1328125,296051.6891479492
578,14259.83203125,296560.3985786438
579,14327.1015625,297076.5829086304
580,14373.45703125,297584.78832244873
581,14447.66796875,298096.03214263916
582,14499.671875,298603.7743091583
583,14570.03125,299110.70013046265
584,14638.81640625,299617.9015636444
585,14662.23828125,300126.77478790283
586,14728.58984375,300644.6702480316
