Number of Processes,Memory Used (MB),Time Elapsed (ms)
2487,13194.77734375,6351952.494859695
2488,13194.0,6354488.00444603
2489,13201.1640625,6357281.047582626
2490,13209.07421875,6359832.103967667
2491,13190.26953125,6362509.893417358
2492,13197.09765625,6365054.956197739
2493,13212.5078125,6367628.313541412
2494,13214.796875,6370173.436880112
2495,13219.42578125,6372803.068637848
2496,13239.80859375,6375390.378713608
2497,13262.625,6377919.767379761
2498,13261.89453125,6380660.746097565
2499,13280.984375,6383181.989908218
2500,13286.1640625,6386034.309387207
2501,13282.265625,6388587.103128433
2502,13292.03515625,6391148.9174366
2503,13291.41015625,6393710.676431656
2504,13301.96484375,6396237.869501114
2505,13309.3203125,6398758.966445923
2506,13305.33984375,6401287.64796257
2507,13305.75390625,6404114.755630493
2508,13301.453125,6406652.96792984
2509,13308.65625,6409177.695274353
2510,13323.40234375,6411851.014375687
2511,13325.4375,6414381.810903549
2512,13319.30859375,6416921.389102936
2513,13311.43359375,6419456.985712051
2514,13325.16796875,6421991.12534523
2515,13336.76953125,6424505.885124207
2516,13317.6796875,6427032.772779465
2517,13326.984375,6429555.119037628
2518,13321.25390625,6432257.673978806
2519,13339.77734375,6434774.471282959
2520,13337.98046875,6437358.144283295
2521,13330.7578125,6440059.077739716
2522,13339.359375,6442644.380807877
2523,13350.55078125,6445159.360647202
2524,13354.5625,6447684.2930316925
2525,13361.078125,6450204.182624817
2526,13366.75,6452724.157094955
2527,13385.17578125,6455240.923404694
2528,13357.70703125,6457998.14748764
2529,13365.3984375,6460522.84860611
2530,13364.00390625,6463036.497592926
2531,13376.16796875,6465556.987762451
2532,13377.8125,6468237.139463425
2533,13390.84375,6470781.294345856
2534,13404.38671875,6473348.8302230835
2535,13402.30078125,6475876.851320267
2536,13389.74609375,6478453.243017197
2537,13396.6484375,6480977.227449417
2538,13395.62890625,6483516.836881638
2539,13391.1484375,6486291.331291199
2540,13414.55859375,6488841.5467739105
2541,13439.5078125,6491379.950761795
2542,13426.15234375,6494191.7288303375
2543,13438.72265625,6496742.634296417
2544,13439.2578125,6499290.153264999
2545,13439.8984375,6501807.876110077
2546,13447.87890625,6504344.025611877
2547,13449.47265625,6506883.828401566
2548,13459.0234375,6509400.454521179
2549,13459.11328125,6512203.588962555
2550,13462.9765625,6514811.553955078
2551,13474.28515625,6517356.124639511
2552,13467.2421875,6520116.154193878
2553,13476.5,6522643.453836441
2554,13470.49609375,6525169.320344925
2555,13456.25390625,6527688.047885895
2556,13463.125,6530221.715927124
2557,13470.40625,6532762.019634247
2558,13482.7109375,6535285.674571991
2559,13489.70703125,6538091.149806976
2560,13498.0390625,6540629.421234131
2561,13502.0859375,6543171.169996262
2562,13502.21484375,6546021.93403244
2563,13502.484375,6548582.684755325
2564,13521.171875,6551129.203796387
2565,13530.01953125,6553676.598072052
2566,13534.70703125,6556190.19985199
2567,13537.01171875,6558757.887840271
2568,13538.50390625,6561614.398956299
2569,13544.515625,6564128.91626358
2570,13553.9765625,6566666.384935379
2571,13562.04296875,6569185.644388199
2572,13575.5625,6571717.868089676
2573,13572.33203125,6574454.746246338
2574,13595.3203125,6577035.435438156
2575,13586.0,6579563.129901886
2576,13588.74609375,6582153.3639431
2577,13595.37890625,6584671.815395355
2578,13590.6171875,6587190.989255905
2579,13608.98828125,6589732.349157333
2580,13607.20703125,6592485.100269318
2581,13607.36328125,6595006.91819191
2582,13613.4765625,6597530.950307846
2583,13633.45703125,6600070.984125137
2584,13640.44921875,6602827.219247818
2585,13653.9453125,6605403.746604919
2586,13663.30859375,6607920.082092285
2587,13665.57421875,6610441.458702087
2588,13688.82421875,6612956.284761429
2589,13666.22265625,6615528.558254242
2590,13667.1484375,6618090.309619904
2591,13679.0859375,6620959.440946579
2592,13683.09375,6623475.568771362
2593,13669.9140625,6625994.943141937
2594,13683.57421875,6628647.07493782
2595,13664.91015625,6631363.916397095
2596,13674.6953125,6633890.810728073
2597,13656.4296875,6636423.014163971
2598,13673.05078125,6638945.113897324
2599,13652.9375,6641484.267711639
2600,13651.41015625,6644030.815601349
2601,13642.90234375,6646552.618741989
2602,13614.75,6649390.993595123
2603,13608.6484375,6651908.330202103
2604,13605.1796875,6654441.970348358
2605,13616.59375,6656975.607633591
2606,13649.8359375,6659532.206773758
2607,13655.42578125,6662270.842552185
2608,13641.97265625,6664830.205202103
2609,13659.56640625,6667356.302499771
2610,13660.93359375,6669937.102556229
2611,13661.40625,6672479.355812073
2612,13674.0625,6675026.269674301
2613,13665.9296875,6677784.651994705
2614,13676.40234375,6680323.719263077
2615,13681.5,6682836.120843887
2616,13688.48828125,6685378.034591675
2617,13697.328125,6687910.245418549
2618,13697.6796875,6690435.383796692
2619,13713.7109375,6692957.9429626465
2620,13718.98828125,6695707.993268967
2621,13734.2734375,6698236.3312244415
2622,13737.2578125,6700760.244846344
2623,13730.6640625,6703342.761993408
2624,13738.41015625,6705862.681388855
2625,13743.9140625,6708772.403717041
2626,13753.3828125,6711304.308176041
2627,13756.93359375,6713827.499628067
2628,13775.33984375,6716345.437288284
2629,13773.08984375,6718890.390634537
2630,13789.88671875,6721431.573152542
2631,13788.578125,6724237.239122391
2632,13796.8671875,6726781.1715602875
2633,13804.2890625,6729316.8659210205
2634,13809.75390625,6731876.932859421
2635,13826.8671875,6734406.847953796
2636,13825.5703125,6736928.927659988
2637,13808.359375,6739755.78379631
2638,13810.76171875,6742291.448354721
2639,13828.33203125,6744831.619262695
2640,13837.48046875,6747379.412174225
2641,13841.22265625,6749894.9275016785
2642,13869.93359375,6752433.241605759
2643,13876.6796875,6754946.426868439
2644,13872.4453125,6757713.0699157715
2645,13881.94140625,6760245.862960815
2646,13907.0390625,6762769.962072372
2647,13884.109375,6765290.04907608
2648,13895.71875,6767847.9816913605
2649,13903.20703125,6770363.891363144
2650,13909.74609375,6772917.92178154
2651,13900.29296875,6775486.335992813
2652,13910.59375,6778007.801294327
2653,13903.0234375,6780569.422721863
2654,13916.6796875,6783152.627229691
2655,13932.2734375,6785715.525388718
2656,13936.41015625,6788231.133460999
2657,13940.31640625,6790759.3722343445
2658,13952.80078125,6793312.5948905945
2659,13929.34375,6796048.283815384
2660,13937.59765625,6798579.993963242
2661,13944.203125,6801096.030473709
2662,13953.60546875,6803611.625671387
2663,13975.63671875,6806137.566566467
2664,13966.46875,6808968.193054199
2665,13975.81640625,6811537.890434265
2666,13974.0703125,6814100.39973259
2667,13982.81640625,6816631.862401962
2668,13984.34375,6819159.320831299
2669,14003.46875,6821675.07314682
2670,14001.82421875,6824191.368818283
2671,14003.53515625,6826712.9900455475
2672,14015.57421875,6829249.0234375
2673,14012.83984375,6832095.301389694
2674,14025.2109375,6834645.577907562
2675,14015.4609375,6837186.665773392
2676,14000.265625,6840036.778211594
2677,13991.0,6842567.360162735
2678,13987.9453125,6845110.215425491
2679,13993.96875,6847638.016939163
2680,13993.75,6850188.496351242
2681,13980.9765625,6852713.51480484
2682,13950.44140625,6855237.142562866
2683,13903.921875,6857776.076078415
2684,13863.09375,6860328.26924324
2685,13841.7109375,6862862.450838089
2686,13792.515625,6865680.919885635
2687,13767.2734375,6868197.532653809
2688,13725.140625,6870765.438079834
2689,13682.48046875,6873681.854486465
2690,13699.28515625,6876197.901010513
2691,13691.98046875,6878716.3898944855
2692,13694.40234375,6881248.637914658
2693,13698.80859375,6883764.704704285
2694,13710.72265625,6886298.232078552
2695,13705.23828125,6888882.449865341
2696,13717.015625,6891403.113365173
2697,13734.3359375,6893921.768188477
2698,13739.88671875,6896436.260223389
2699,13748.9296875,6899270.102262497
2700,13754.67578125,6901809.972524643
2701,13752.046875,6904330.66868782
2702,13762.4453125,6906941.411972046
2703,13755.390625,6909792.573690414
2704,13769.77734375,6912359.177827835
2705,13771.21875,6914882.018089294
2706,13765.64453125,6917402.194261551
2707,13762.54296875,6919943.204879761
2708,13776.88671875,6922458.995819092
2709,13767.1875,6925051.229476929
2710,13774.84375,6927646.342992783
2711,13787.7421875,6930171.149730682
2712,13801.5390625,6932710.036277771
2713,13779.55078125,6935477.802276611
2714,13791.46484375,6938000.00834465
2715,13793.515625,6940527.563095093
2716,13794.61328125,6943060.28676033
2717,13807.00390625,6945579.096794128
2718,13804.35546875,6948482.419729233
2719,13806.25390625,6951013.766050339
2720,13802.19921875,6953546.638250351
